,date,RUR,USD,KZT,BYR,UAH,EUR
0,2003-01,1,31.7844,0.203925,0.016425,5.9419,33.2719
1,2003-02,1,31.8345,0.205576,0.016256,5.94182,34.429
2,2003-03,1,31.5729,0.208194,0.015989,5.89454,33.9409
3,2003-04,1,31.3175,0.206063,0.015641,5.8414,34.1079
4,2003-05,1,31.1021,0.204875,0.015331,5.77205,34.5513
5,2003-06,1,30.709,0.204125,0.015008,5.63882,36.4669
6,2003-07,1,30.3267,0.205608,0.014682,5.63966,34.9303
7,2003-08,1,30.3031,0.20633,0.014565,5.64945,34.0122
8,2003-09,1,30.5458,0.207069,0.014523,5.67734,33.634
9,2003-10,1,30.5693,0.205733,0.014459,5.66896,35.7141
10,2003-11,1,29.9451,0.202923,0.014038,5.55465,34.7992
11,2003-12,1,29.7038,0.20265,0.01381,5.50938,35.6624
12,2004-01,1,29.4545,0.20567,0.013575,5.474,37.0979
13,2004-02,1,28.4937,0.204323,0.013192,5.27896,35.3635
14,2004-03,1,28.5162,0.204959,0.013228,5.29795,35.7593
15,2004-04,1,28.5024,0.20521,0.013245,5.29204,34.9639
16,2004-05,1,28.9612,0.209668,0.013421,5.40129,34.6289
17,2004-06,1,29.0053,0.212294,0.013452,5.43629,35.5054
18,2004-07,1,29.0388,0.213649,0.013436,5.44307,35.3344
19,2004-08,1,29.1019,0.213478,0.013455,5.455,35.0532
20,2004-09,1,29.2552,0.215554,0.013513,5.47133,35.627
21,2004-10,1,29.2175,0.2175,0.013452,5.4344,36.3203
22,2004-11,1,28.7651,0.218149,0.013209,5.34717,36.7819
23,2004-12,1,28.0161,0.215442,0.012845,5.21492,37.3062
24,2005-01,1,27.7487,0.213438,0.012749,5.12337,37.8409
25,2005-02,1,27.9656,0.21509,0.012854,5.25294,36.4643
26,2005-03,1,27.7091,0.212833,0.01282,5.24218,36.5511
27,2005-04,1,27.8831,0.210386,0.01293,5.32598,36.1532
28,2005-05,1,27.7726,0.211391,0.012899,5.46974,36.0072
29,2005-06,1,28.2885,0.215124,0.01314,5.572,34.8741
30,2005-07,1,28.6794,0.21211,0.013324,5.68325,34.5415
31,2005-08,1,28.595,0.210407,0.013295,5.6771,34.8173
32,2005-09,1,28.4637,0.210364,0.01322,5.63705,35.1128
33,2005-10,1,28.5348,0.213347,0.013256,5.59429,34.3074
34,2005-11,1,28.581,0.213746,0.013283,5.56115,34.2743
35,2005-12,1,28.816,0.215013,0.013394,5.67032,33.9395
36,2006-01,1,28.7825,0.215337,0.013363,5.67232,34.185
37,2006-02,1,28.1042,0.213323,0.013062,5.49103,34.1354
38,2006-03,1,28.0245,0.215214,0.01302,5.48221,33.4472
39,2006-04,1,27.6996,0.215729,0.012875,5.42258,33.6273
40,2006-05,1,27.2739,0.21917,0.012685,5.37279,34.1906
41,2006-06,1,27.0474,0.222961,0.012612,5.40203,34.5368
42,2006-07,1,26.9423,0.227707,0.012572,5.34824,34.2383
43,2006-08,1,26.8416,0.225857,0.012524,5.31907,34.172
44,2006-09,1,26.7542,0.213362,0.012488,5.29671,34.2668
45,2006-10,1,26.7799,0.210492,0.012505,5.29896,33.9783
46,2006-11,1,26.7285,0.209105,0.01248,5.27574,34.0842
47,2006-12,1,26.2465,0.205152,0.012258,5.19342,34.8186
48,2007-01,1,26.3311,0.207609,0.012291,5.21987,34.6965
49,2007-02,1,26.4882,0.209924,0.01232,5.22965,34.4929
50,2007-03,1,26.1366,0.209419,0.012168,5.16207,34.55
51,2007-04,1,26.0113,0.210061,0.012124,5.13966,34.6861
52,2007-05,1,25.6851,0.213842,0.011948,5.08233,35.0653
53,2007-07,1,25.8162,0.211011,0.012019,5.11465,34.715
54,2007-08,1,25.6008,0.207364,0.011916,5.08709,34.9528
55,2007-09,1,25.6262,0.202803,0.011914,5.09528,35.0233
56,2007-10,1,24.8784,0.205581,0.011563,4.94168,35.4443
57,2007-11,1,24.6847,0.204121,0.011459,4.87686,35.6768
58,2007-12,1,24.4171,0.20202,0.011325,4.81239,36.0055
59,2008-01,1,24.5462,0.203492,0.01139,4.82357,35.9332
60,2008-02,1,24.4201,0.203365,0.011348,4.78825,36.3225
61,2008-03,1,24.0023,0.198601,0.011176,4.70975,36.5099
62,2008-04,1,23.5799,0.195524,0.01098,4.67735,36.9851
63,2008-05,1,23.6588,0.196499,0.011048,4.73583,36.8959
64,2008-06,1,23.7384,0.196848,0.011114,4.93501,36.7827
65,2008-07,1,23.4689,0.194521,0.011045,4.97676,36.9823
66,2008-08,1,23.4697,0.195288,0.011097,5.04183,36.5353
67,2008-09,1,24.667,0.206091,0.01168,5.28032,36.1248
68,2008-10,1,25.6023,0.213397,0.012114,5.04827,36.153
69,2008-11,1,27.0793,0.225793,0.012812,4.57421,34.4828
70,2008-12,1,27.9409,0.231981,0.013044,3.71555,35.4095
71,2009-01,1,29.3916,0.242475,0.013354,3.82952,41.4275
72,2009-02,1,35.4146,0.290212,0.013006,4.5564,45.6636
73,2009-03,1,35.7205,0.237054,0.012529,4.20241,45.3543
74,2009-04,1,33.9456,0.224731,0.011995,4.21684,44.7912
75,2009-05,1,32.974,0.21861,0.011668,4.06084,43.9939
76,2009-06,1,30.7441,0.204579,0.011055,4.03201,43.4875
77,2009-07,1,31.1904,0.207411,0.011037,4.01679,43.8069
78,2009-08,1,31.1533,0.206683,0.010931,3.87961,43.9978
79,2009-09,1,31.7743,0.210775,0.011196,3.75805,45.6501
80,2009-10,1,30.0621,0.199126,0.010884,3.62194,43.8245
81,2009-11,1,29.0488,0.192676,0.010586,3.53392,43.0678
82,2009-12,1,29.1771,0.196228,0.010484,3.64714,43.8736
83,2010-02,1,30.3996,0.205424,0.010515,3.78811,42.219
84,2010-03,1,29.93,0.20326,0.010211,3.73099,40.7377
85,2010-04,1,29.4394,0.200166,0.009882,3.69378,39.7255
86,2010-05,1,29.1537,0.199042,0.009843,3.65885,38.6986
87,2010-06,1,31.0702,0.211542,0.010353,3.92053,38.033
88,2010-07,1,31.3703,0.212702,0.010384,3.96816,38.3031
89,2010-08,1,30.1869,0.204352,0.010143,3.82316,39.4694
90,2010-09,1,30.8001,0.209233,0.010216,3.90418,39.1654
91,2010-10,1,30.5094,0.206703,0.010133,3.84491,41.6606
92,2010-11,1,30.7738,0.208586,0.010217,3.87092,42.9848
93,2010-12,1,31.4555,0.213041,0.010371,3.9517,41.062
94,2011-01,1,30.3505,0.205829,0.010114,3.80929,40.4876
95,2011-02,1,29.6548,0.201898,0.009832,3.72782,40.7368
96,2011-03,1,28.7569,0.197154,0.009513,3.62064,39.7219
97,2011-04,1,28.3684,0.194718,0.009313,3.56275,40.198
98,2011-05,1,27.5022,0.188863,0.009125,3.45288,40.8078
99,2011-06,1,27.9682,0.19238,0.005626,3.50479,40.3497
100,2011-07,1,27.8536,0.19104,0.005632,3.48933,40.4824
101,2011-08,1,27.5204,0.188142,0.00555,3.44113,39.6431
102,2011-09,1,28.8911,0.19696,0.005656,3.60913,41.4732
103,2011-10,1,32.11,0.216864,0.005693,4.01561,43.4191
104,2011-11,1,30.6448,0.207052,0.003627,3.8294,42.2469
105,2011-12,1,30.8486,0.208924,0.003591,3.84814,41.5068
106,2012-01,1,32.1961,0.216874,0.003856,4.00549,41.6714
107,2012-02,1,30.4067,0.204559,0.003642,3.78805,39.6777
108,2012-03,1,29.2889,0.198045,0.003611,3.66524,39.0714
109,2012-04,1,29.3282,0.198371,0.003634,3.65165,39.1707
110,2012-05,1,29.3627,0.198712,0.003648,3.65476,38.9203
111,2012-06,1,33.7384,0.22787,0.004012,4.17281,41.6804
112,2012-07,1,32.8169,0.219621,0.003935,4.06225,41.323
113,2012-08,1,32.3322,0.215412,0.0039,3.98966,39.8236
114,2012-09,1,32.5669,0.21762,0.003872,4.01095,40.7249
115,2012-10,1,31.2538,0.208289,0.003677,3.83576,40.1455
116,2012-11,1,31.3666,0.207939,0.003677,3.84018,40.6323
117,2012-12,1,30.811,0.204697,0.003591,3.76212,40.0759
118,2013-01,1,30.3727,0.202107,0.003534,3.759,40.2286
119,2013-02,1,29.9966,0.198791,0.003464,3.68215,40.8674
120,2013-03,1,30.6381,0.203447,0.003563,3.77084,40.0563
121,2013-04,1,31.1093,0.206186,0.003592,3.82446,39.8168
122,2013-05,1,31.0433,0.205313,0.003597,3.82189,40.6264
123,2013-06,1,31.7979,0.209922,0.003659,3.90446,41.4486
124,2013-07,1,32.8517,0.216379,0.003727,4.02915,42.8025
125,2013-08,1,32.9741,0.214591,0.003707,4.0576,43.727
126,2013-09,1,33.2474,0.216899,0.003688,4.09325,44.0129
127,2013-10,1,32.2965,0.209895,0.003553,3.941,43.8005
128,2013-11,1,32.1808,0.20856,0.003475,3.93058,43.6179
129,2013-12,1,33.1916,0.215663,0.00355,4.0443,45.187
130,2014-01,1,32.6587,0.21176,0.003423,3.96343,45.0559
131,2014-02,1,35.18,0.226231,0.003642,4.1856,47.6408
132,2014-03,1,36.1847,0.196347,0.003694,3.38175,49.5839
133,2014-04,1,35.024,0.192344,0.00354,3.09536,48.2596
134,2014-05,1,35.7227,0.196219,0.003576,3.11989,49.3188
135,2014-06,1,34.7352,0.189303,0.003446,2.94366,47.2677
136,2014-07,1,34.2275,0.186506,0.003351,2.91298,46.8335
137,2014-08,1,35.7272,0.196239,0.00346,2.91057,47.8244
138,2014-09,1,37.2945,0.204926,0.003559,2.87988,48.9677
139,2014-10,1,39.6604,0.21804,0.003727,3.06258,50.0554
140,2014-11,1,41.9627,0.232011,0.003911,3.22728,52.7219
141,2014-12,1,51.8068,0.285327,0.004762,3.44942,64.4425
142,2015-01,1,56.2376,0.308143,0.003878,3.55525,68.3681
143,2015-02,1,68.9291,0.373711,0.00441,4.32993,78.1105
144,2015-03,1,61.2718,0.330663,0.004098,2.07701,68.6857
145,2015-04,1,58.3536,0.314236,0.00397,2.49908,62.7476
146,2015-05,1,51.1388,0.275236,0.003584,2.40653,57.1578
147,2015-06,1,52.8213,0.284047,0.003533,2.50933,57.702
148,2015-07,1,55.4756,0.297888,0.003619,2.64044,61.6556
149,2015-08,1,60.3458,0.321947,0.003965,2.85323,66.0002
150,2015-09,1,65.3495,0.273773,0.003749,2.984,73.8449
151,2015-10,1,65.0336,0.239799,0.00368,3.07487,72.4865
152,2015-11,1,64.3742,0.229859,0.00369,2.79281,70.7537
153,2015-12,1,66.2584,0.215362,0.00367,2.77813,70.1345
154,2016-01,1,72.9299,0.213821,0.003904,3.0352,79.6395
155,2016-02,1,76.3264,0.211636,0.003632,3.00498,82.8141
156,2016-03,1,74.0536,0.212932,0.003479,2.73766,80.5333
157,2016-04,1,67.141,0.195838,0.003359,2.57492,76.4266
158,2016-05,1,64.3334,0.196618,0.003347,2.55291,73.3015
159,2016-06,1,66.6156,0.197661,0.00335,2.65401,74.2098
160,2016-07,1,64.0165,0.189331,,2.57897,71.0519
161,2016-08,1,65.9553,0.187269,,2.65788,73.6523
162,2016-09,1,65.2566,0.191284,,2.44865,72.6828
163,2016-10,1,63.396,0.188946,,2.44348,70.9338
164,2016-11,1,63.2025,0.18803,,2.46644,69.3647
165,2016-12,1,63.6807,0.187464,,2.48704,67.6162
166,2017-01,1,60.6569,0.181637,,2.23826,63.8111
167,2017-02,1,60.3099,0.185838,,2.22628,65.0322
168,2017-03,1,58.3776,0.185925,,2.14624,61.5417
169,2017-04,1,55.9606,0.178432,,2.0707,59.8107
170,2017-05,1,56.9838,0.181226,,2.14669,62.044
171,2017-06,1,56.5373,0.181047,,2.15216,63.531
172,2017-07,1,59.3862,0.183719,,2.28058,67.8072
173,2017-08,1,59.8454,0.181212,,2.31398,70.7313
174,2017-09,1,58.0557,0.171755,,2.25503,68.9992
175,2017-10,1,58.0169,0.170075,,2.1815,68.4483
176,2017-11,1,58.1557,0.173506,,2.16353,67.7107
177,2017-12,1,58.5182,0.176645,,2.16514,69.7478
178,2018-01,1,57.6002,0.173184,,2.04955,68.8668
179,2018-02,1,56.2613,0.174337,,2.01726,69.7921
180,2018-03,1,56.4334,0.175474,,2.10455,68.8826
181,2018-04,1,57.2649,0.179829,,2.17613,70.5618
182,2018-05,1,61.9997,0.189546,,2.36369,75.2056
183,2018-06,1,62.2056,0.18806,,2.38141,72.7183
184,2018-07,1,62.7565,0.183843,,2.38527,72.9921
185,2018-08,1,62.559,0.179504,,2.32044,73.1064
186,2018-09,1,68.0447,0.187126,,2.40866,79.4966
187,2018-10,1,65.5745,0.18016,,2.32616,75.9877
188,2018-11,1,65.6517,0.177207,,2.33553,74.5803
189,2018-12,1,66.5335,0.178169,,2.35508,75.7484
190,2019-01,1,69.4706,0.18057,,2.50706,79.4605
191,2019-02,1,65.6601,0.171804,,2.38073,75.148
192,2019-03,1,65.8145,0.174398,,2.44891,74.8048
193,2019-04,1,65.4176,0.172183,,2.40497,73.4967
194,2019-05,1,64.6314,0.169558,,2.44839,72.3096
195,2019-06,1,65.3834,0.170928,,2.4333,72.8436
196,2019-07,1,63.0541,0.165485,,2.40665,71.3962
197,2019-08,1,63.834,0.165706,,2.5191,70.4727
198,2019-09,1,66.4897,0.171686,,2.64585,73.3847
199,2019-10,1,65.067,0.167386,,2.65295,70.8449
200,2019-11,1,64.0316,0.164392,,2.59684,71.4785
201,2019-12,1,64.0817,0.165875,,2.67341,70.5475
202,2020-01,1,61.9057,0.161665,,2.61205,69.3777
203,2020-02,1,63.1385,0.166537,,2.52296,69.5976
204,2020-03,1,66.9909,0.175541,,2.7257,73.7235
205,2020-04,1,77.7325,0.174278,,2.75213,85.7389
206,2020-05,1,72.7263,0.171298,,2.69798,79.1189
207,2020-06,1,69.7114,0.170579,,2.59886,77.6376
208,2020-07,1,70.4413,0.173349,,2.63273,79.1901
209,2020-08,1,73.4261,0.174086,,2.65196,87.2889
210,2020-09,1,73.5849,0.175813,,2.66491,88.1547
211,2020-10,1,77.2774,0.179803,,2.72677,90.7237
212,2020-11,1,79.3323,0.183154,,2.78971,92.6284
213,2020-12,1,76.3203,0.179286,,2.67385,91.3096
214,2021-01,1,73.8757,0.175252,,2.60711,90.7932
215,2021-02,1,75.5053,0.178083,,2.68977,91.5426
216,2021-03,1,74.0448,0.177018,,2.64517,89.4461
217,2021-04,1,75.8073,0.177325,,2.7237,88.9523
218,2021-05,1,74.8451,0.174178,,2.69783,90.585
219,2021-06,1,73.2411,0.171242,,2.66875,89.5958
220,2021-07,1,72.9086,0.170648,,2.65877,86.4113
221,2021-08,1,73.1388,0.171891,,2.72718,86.9913
222,2021-09,1,73.1912,0.171607,,2.7098,86.3949
223,2021-10,1,72.9215,0.170997,,2.74216,84.4577
224,2021-11,1,71.0863,0.166031,,2.70457,82.1687
225,2021-12,1,73.9746,0.169569,,2.72166,83.8354
226,2022-01,1,74.2926,0.169,,2.72584,84.0695
227,2022-02,1,77.1302,0.177719,,2.72497,86.7869
228,2022-03,1,91.7457,0.186621,,3.04044,102.9112
229,2022-04,1,83.4285,0.175449,,2.83066,92.1468
230,2022-05,1,71.0237,0.158362,,2.34698,74.5589
231,2022-06,1,61.4733,0.148246,,2.0733,63.6629
232,2022-07,1,53.7676,0.114316,,1.82867,56.3584
